#project_accession: PXD004452
#project_title: HeLa proteome of 12,250 protein-coding genes
#project_description: We developed an optimized multi-shot proteomics workflow based on high-resolution offline high pH reversed-phase peptide separation of high peptide loads collecting many fractions that were in turn analyzed by short online chromatographic separations and fast peptide sequencing using orbitrap tandem mass spectrometry.
#quantms_version: 1.1
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
Q6ZN54	PXD004452-Sample-1	colon	2562486.86	3.907667643887424
P21695	PXD004452-Sample-1	colon	2560697.765151515	3.9073643192529497
Q13362	PXD004452-Sample-1	colon	2557603.4375	3.906839203776245
Q6PJI9	PXD004452-Sample-1	colon	2556525.813829787	3.906656179062762
Q9BXR6	PXD004452-Sample-1	colon	2554884.1304347827	3.906377205522477
P04049	PXD004452-Sample-1	colon	2553709.2027027025	3.9061774383433736
Q96RL7	PXD004452-Sample-1	colon	2552243.0123239434	3.9059280202596938
Q15723	PXD004452-Sample-1	colon	2550630.625	3.905653566690763
Q8IVH8	PXD004452-Sample-1	colon	2550274.798449612	3.905592976072129
Q8TAP8	PXD004452-Sample-1	colon	2550033.125	3.905551818774475
Q6PL24	PXD004452-Sample-1	colon	2544264.772727273	3.904568301641135
Q9H2K0	PXD004452-Sample-1	colon	2540460.671875	3.903918472919808
Q9Y3T9	PXD004452-Sample-1	colon	2538384.273809524	3.903563365299096
Q5T1C6	PXD004452-Sample-1	colon	2538177.5128205125	3.9035279889320096
Q96EV8	PXD004452-Sample-1	colon	2536614.106060606	3.903260400033285
Q969P0	PXD004452-Sample-1	colon	2536289.270833333	3.903204781332733
P08648	PXD004452-Sample-1	colon	2534253.5333333337	3.902856057480277
O60333	PXD004452-Sample-1	colon	2533675.6276041665	3.9027570106063534
P23508	PXD004452-Sample-1	colon	2526772.371794872	3.901572116397296
Q8IWE4	PXD004452-Sample-1	colon	2525980.359375	3.901435966205642
Q9UJA5	PXD004452-Sample-1	colon	2525545.047619048	3.9013611161440247
Q9HCM2	PXD004452-Sample-1	colon	2525526.470588235	3.901357921613145
Q6ZNJ1	PXD004452-Sample-1	colon	2525058.7897196263	3.90127749084695
Q6ZWJ1	PXD004452-Sample-1	colon	2523038.275862069	3.900929835857593
Q86YV0	PXD004452-Sample-1	colon	2521926.6052631577	3.900738440109161
Q13574	PXD004452-Sample-1	colon	2521756.8104166663	3.900709199191825
Q14669	PXD004452-Sample-1	colon	2520562.2602040814	3.900503426186142
O60921	PXD004452-Sample-1	colon	2520402.8846153845	3.9004759648025553
P19484	PXD004452-Sample-1	colon	2520196.1764705884	3.900440345144808
O75791	PXD004452-Sample-1	colon	2518713.0	3.900184680534508
Q8WWH5	PXD004452-Sample-1	colon	2517982.8095238097	3.900058757624425
Q9H6R0	PXD004452-Sample-1	colon	2517882.668803419	3.9000414852955783
Q8WTS6	PXD004452-Sample-1	colon	2517160.5	3.899916904862814
Q8IVL5	PXD004452-Sample-1	colon	2516150.310810811	3.899742578415303
Q9BWU1	PXD004452-Sample-1	colon	2514891.5166666666	3.899525252707901
O75815	PXD004452-Sample-1	colon	2514461.108843537	3.8994509195851608
P01031	PXD004452-Sample-1	colon	2510841.0060975607	3.898825209575096
P31513	PXD004452-Sample-1	colon	2508783.4166666665	3.8984691670863967
O95785	PXD004452-Sample-1	colon	2508761.655405405	3.8984653999869288
Q9H8Y5	PXD004452-Sample-1	colon	2505361.5	3.89787639612294
Q9Y5S8	PXD004452-Sample-1	colon	2501063.888888889	3.897130782594569
Q96HA9	PXD004452-Sample-1	colon	2499958.3928571427	3.896938777517556
Q5JPI3	PXD004452-Sample-1	colon	2498948.90625	3.8967633733971097
Q9H0S4	PXD004452-Sample-1	colon	2498595.75	3.8967019937311216
Q8NAX2	PXD004452-Sample-1	colon	2498229.683333333	3.896638361036425
P51116	PXD004452-Sample-1	colon	2496510.4166666665	3.896339379291312
Q9HBL8	PXD004452-Sample-1	colon	2492546.617647059	3.8956492863972194
Q8IWW8	PXD004452-Sample-1	colon	2491704.25	3.895502489763564
P51790	PXD004452-Sample-1	colon	2491266.136363636	3.89542612152516
Q9NXH9	PXD004452-Sample-1	colon	2489687.080882353	3.8951507625425705
Q9HBI0	PXD004452-Sample-1	colon	2487595.5555555555	3.894785769019798
Q6PCB7	PXD004452-Sample-1	colon	2486957.255208333	3.894674317667018
P35236	PXD004452-Sample-1	colon	2484692.1052631577	3.894278576890219
O00562	PXD004452-Sample-1	colon	2478873.16509434	3.893260302877116
Q6QNY0	PXD004452-Sample-1	colon	2476792.6785714286	3.892895652031736
Q8N960	PXD004452-Sample-1	colon	2476760.8854166665	3.892890077208936
Q9BRS2	PXD004452-Sample-1	colon	2475499.403846154	3.892668822886688
P21757	PXD004452-Sample-1	colon	2475302.9080459774	3.8926343488615096
Q9H063	PXD004452-Sample-1	colon	2474146.6666666665	3.8924314377085274
Q8N680	PXD004452-Sample-1	colon	2473936.8583333334	3.892394607852677
Q96B70	PXD004452-Sample-1	colon	2473509.847826087	3.8923196405742058
Q9UK99	PXD004452-Sample-1	colon	2471971.527777778	3.892049461038913
Q13610	PXD004452-Sample-1	colon	2471597.325	3.891983713314283
Q9Y618	PXD004452-Sample-1	colon	2470096.5072463765	3.891719918384484
P78316	PXD004452-Sample-1	colon	2467685.9916666667	3.8912958925396026
Q8N573	PXD004452-Sample-1	colon	2463577.742424242	3.890572268541676
Q8IXS6	PXD004452-Sample-1	colon	2461233.625	3.890158836528463
Q15021	PXD004452-Sample-1	colon	2459306.1513157897	3.889818592869866
Q68DQ2	PXD004452-Sample-1	colon	2456418.535196687	3.889308362549577
Q96BY6	PXD004452-Sample-1	colon	2455027.978228228	3.88906244264282
Q9P2J3	PXD004452-Sample-1	colon	2449760.902777778	3.8881296959992095
Q8IWF6	PXD004452-Sample-1	colon	2449515.103448276	3.888086118420641
Q99707	PXD004452-Sample-1	colon	2448244.742647059	3.887860827383226
Q96IG2	PXD004452-Sample-1	colon	2447973.4166666665	3.887812694161884
Q8WY36	PXD004452-Sample-1	colon	2447033.475609756	3.887645907381668
Q8N4X5	PXD004452-Sample-1	colon	2441809.289473684	3.886717738412469
Q8WUF8	PXD004452-Sample-1	colon	2440302.95	3.886449741729901
P21217	PXD004452-Sample-1	colon	2440097.488095238	3.886413174660184
Q7Z6L1	PXD004452-Sample-1	colon	2438047.8488372094	3.8860482215845567
P42226	PXD004452-Sample-1	colon	2435970.9310344825	3.885678098268901
P00748	PXD004452-Sample-1	colon	2422651.8928571427	3.8832970123176063
Q92623	PXD004452-Sample-1	colon	2422570.6818181816	3.883282453850766
Q9NZQ3	PXD004452-Sample-1	colon	2420623.9285714286	3.882933318907308
Q9NZ52	PXD004452-Sample-1	colon	2413701.304347826	3.881689521930187
Q92620	PXD004452-Sample-1	colon	2413626.632183908	3.881676086046332
Q8IZA0	PXD004452-Sample-1	colon	2413303.397435897	3.8816179210981057
P42331	PXD004452-Sample-1	colon	2410300.62601626	3.881077210368087
Q5T8P6	PXD004452-Sample-1	colon	2410197.7	3.881058664484284
Q9H6X2	PXD004452-Sample-1	colon	2406562.159090909	3.8804030803565466
Q9H792	PXD004452-Sample-1	colon	2406180.611111111	3.880334219754405
P02462	PXD004452-Sample-1	colon	2405387.966666667	3.880191130819525
P27930	PXD004452-Sample-1	colon	2400573.277777778	3.879320964203648
Q9BTY7	PXD004452-Sample-1	colon	2397190.434782609	3.878708532922148
Q8NB15	PXD004452-Sample-1	colon	2391607.5972222225	3.877695921144382
P43007	PXD004452-Sample-1	colon	2391176.574074074	3.877617644153987
Q9NPB8	PXD004452-Sample-1	colon	2391066.222222222	3.8775976011731608
Q9BSK4	PXD004452-Sample-1	colon	2390867.1296296297	3.877561438053335
O15381	PXD004452-Sample-1	colon	2388749.1	3.87717653324229
Q8TDJ6	PXD004452-Sample-1	colon	2388593.5932539683	3.877148259900367
Q7Z2X4	PXD004452-Sample-1	colon	2387776.8181818184	3.876999728325262
Q6UXG2	PXD004452-Sample-1	colon	2385200.8713768115	3.87653095613965
Q8TDP1	PXD004452-Sample-1	colon	2384201.0	3.876348862602709
Q9BWP8	PXD004452-Sample-1	colon	2381687.727272727	3.8758908155770175
Q68CQ4	PXD004452-Sample-1	colon	2377147.237179487	3.875062078961552
Q9BTT4	PXD004452-Sample-1	colon	2369417.1875	3.873647531264231
Q8WVB6	PXD004452-Sample-1	colon	2367933.25	3.873375452642512
Q9ULE6	PXD004452-Sample-1	colon	2365038.75	3.8728442576409
Q15742	PXD004452-Sample-1	colon	2364953.1977272728	3.8728285473055015
P55211	PXD004452-Sample-1	colon	2360995.988095238	3.872101245914392
Q9UL40	PXD004452-Sample-1	colon	2354496.8928571427	3.870904118463368
Q8TEQ0	PXD004452-Sample-1	colon	2350623.882113821	3.8701891410357865
Q8N4Z0	PXD004452-Sample-1	colon	2346672.2916666665	3.869458442239164
Q9NVF7	PXD004452-Sample-1	colon	2343852.875	3.8689363440925897
Q8IV38	PXD004452-Sample-1	colon	2341801.086956522	3.8685560000511794
Q04721	PXD004452-Sample-1	colon	2340469.3243243243	3.868308950168468
Q32P41	PXD004452-Sample-1	colon	2339679.513888889	3.8681623692245823
Q8N8A6	PXD004452-Sample-1	colon	2338824.696969697	3.868003667956637
